,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
11144,21/09/2022 17:00:00,32.5857,31.8978,0.0,0.4258,0.0000,0.0000
11145,21/09/2022 17:15:00,32.461,31.7683,0.0,0.423,0.0000,0.0000
11146,21/09/2022 17:30:00,32.1709,31.4761,0.0,0.4282,0.0000,0.0000
11147,21/09/2022 17:45:00,32.0457,31.3507,0.0,0.4318,0.0000,0.0000
11148,21/09/2022 18:00:00,32.0769,31.3809,0.0,0.411,0.0000,0.0000
11149,21/09/2022 18:15:00,32.1202,31.4233,0.0,0.4165,0.0000,0.0000
11150,21/09/2022 18:30:00,32.2741,31.5794,0.0,0.4279,0.0000,0.0000
11151,21/09/2022 18:45:00,32.2961,31.6016,0.0,0.4257,0.0000,0.0000
11152,21/09/2022 19:00:00,32.3551,31.6547,0.0,0.4308,0.0000,0.0000
11153,21/09/2022 19:15:00,32.492,31.7951,0.0,0.42,0.0000,0.0000
11154,21/09/2022 19:30:00,32.5002,31.8078,0.0,0.42,0.0000,0.0000
11155,21/09/2022 19:45:00,32.4861,31.7938,0.0,0.4235,0.0000,0.0000
11156,21/09/2022 20:00:00,32.6138,31.9234,0.0,0.424,0.0000,0.0000
11157,21/09/2022 20:15:00,32.7053,32.0122,0.0,0.4271,0.0000,0.0000
11158,21/09/2022 20:30:00,32.649,31.9546,0.0,0.4202,0.0000,0.0000
11159,21/09/2022 20:45:00,32.8147,32.1139,0.0,0.4316,0.0000,0.0000
11160,21/09/2022 21:00:00,33.0229,32.325,0.0,0.4258,0.0000,0.0000
11161,21/09/2022 21:15:00,33.0154,32.3153,0.0,0.4222,0.0000,0.0000
11162,21/09/2022 21:30:00,33.0152,32.3118,0.0,0.4446,0.0000,0.0000
11163,21/09/2022 21:45:00,33.2432,32.5349,0.0,0.4206,0.0000,0.0000
11164,21/09/2022 22:00:00,33.3514,32.6395,0.0,0.4251,0.0000,0.0000
11165,21/09/2022 22:15:00,33.4492,32.7399,0.0,0.431,0.0000,0.0000
11166,21/09/2022 22:30:00,33.4282,32.7152,0.0,0.4152,0.0000,0.0000
11167,21/09/2022 22:45:00,33.5154,32.8046,0.0,0.4245,0.0000,0.0000
